/home/mk/anaconda3/envs/pn/bin/python /home/mk/PycharmProjects/pythonProject/train_dep.py
2023-05-08 13:24:51.810442: I tensorflow/stream_executor/platform/default/dso_loader.cc:48] Successfully opened dynamic library libcudart.so.10.1
[Epoch 372] Train Loss: 0.4067, Val F1: 0.0
[Epoch 373] Train Loss: 0.4044, Val F1: 0.0
[Epoch 374] Train Loss: 0.4072, Val F1: 0.0
[Epoch 375] Train Loss: 0.4047, Val F1: 0.0
[Epoch 376] Train Loss: 0.4051, Val F1: 0.0
[Epoch 377] Train Loss: 0.4066, Val F1: 0.0
[Epoch 378] Train Loss: 0.4048, Val F1: 0.0
[Epoch 379] Train Loss: 0.4059, Val F1: 0.0
[Epoch 380] Train Loss: 0.4067, Val F1: 0.0
[Epoch 381] Train Loss: 0.4046, Val F1: 0.0
[Epoch 382] Train Loss: 0.4060, Val F1: 0.0
[Epoch 383] Train Loss: 0.4044, Val F1: 0.0
[Epoch 384] Train Loss: 0.4045, Val F1: 0.0
[Epoch 385] Train Loss: 0.4048, Val F1: 0.0
[Epoch 386] Train Loss: 0.4053, Val F1: 0.0
[Epoch 387] Train Loss: 0.4037, Val F1: 0.0
[Epoch 388] Train Loss: 0.4064, Val F1: 0.0
[Epoch 389] Train Loss: 0.4056, Val F1: 0.0
[Epoch 390] Train Loss: 0.4031, Val F1: 0.0
[Epoch 391] Train Loss: 0.4047, Val F1: 0.0
[Epoch 392] Train Loss: 0.4046, Val F1: 0.0
[Epoch 393] Train Loss: 0.4039, Val F1: 0.0
[Epoch 394] Train Loss: 0.4050, Val F1: 0.0
[Epoch 395] Train Loss: 0.4048, Val F1: 0.0
[Epoch 396] Train Loss: 0.4050, Val F1: 0.0
[Epoch 397] Train Loss: 0.4065, Val F1: 0.0
[Epoch 398] Train Loss: 0.4060, Val F1: 0.0
[Epoch 399] Train Loss: 0.4034, Val F1: 0.0
[Epoch 400] Train Loss: 0.4045, Val F1: 0.0
[Epoch 401] Train Loss: 0.4050, Val F1: 0.0
[Epoch 402] Train Loss: 0.4045, Val F1: 0.0
[Epoch 403] Train Loss: 0.4056, Val F1: 0.0
[Epoch 404] Train Loss: 0.4047, Val F1: 0.0
[Epoch 405] Train Loss: 0.4041, Val F1: 0.0
[Epoch 406] Train Loss: 0.4033, Val F1: 0.0
[Epoch 407] Train Loss: 0.4044, Val F1: 0.0
[Epoch 408] Train Loss: 0.4038, Val F1: 0.0
[Epoch 409] Train Loss: 0.4052, Val F1: 0.0
[Epoch 410] Train Loss: 0.4058, Val F1: 0.0
[Epoch 411] Train Loss: 0.4035, Val F1: 0.0
[Epoch 412] Train Loss: 0.4034, Val F1: 0.0
[Epoch 413] Train Loss: 0.4039, Val F1: 0.0
[Epoch 414] Train Loss: 0.4042, Val F1: 0.0
[Epoch 415] Train Loss: 0.4047, Val F1: 0.0
[Epoch 416] Train Loss: 0.4037, Val F1: 0.0
[Epoch 417] Train Loss: 0.4050, Val F1: 0.0
[Epoch 418] Train Loss: 0.4038, Val F1: 0.0
[Epoch 419] Train Loss: 0.4036, Val F1: 0.0
[Epoch 420] Train Loss: 0.4031, Val F1: 0.0
[Epoch 421] Train Loss: 0.4053, Val F1: 0.0
[Epoch 422] Train Loss: 0.4030, Val F1: 0.0
[Epoch 423] Train Loss: 0.4043, Val F1: 0.0
[Epoch 424] Train Loss: 0.4028, Val F1: 0.0
[Epoch 425] Train Loss: 0.4028, Val F1: 0.0
[Epoch 426] Train Loss: 0.4041, Val F1: 0.0
[Epoch 427] Train Loss: 0.4053, Val F1: 0.0
[Epoch 428] Train Loss: 0.4033, Val F1: 0.0
[Epoch 429] Train Loss: 0.4034, Val F1: 0.0
[Epoch 430] Train Loss: 0.4040, Val F1: 0.0
[Epoch 431] Train Loss: 0.4030, Val F1: 0.0
[Epoch 432] Train Loss: 0.4067, Val F1: 0.0
[Epoch 433] Train Loss: 0.4023, Val F1: 0.0
[Epoch 434] Train Loss: 0.4031, Val F1: 0.0
[Epoch 435] Train Loss: 0.4040, Val F1: 0.0
[Epoch 436] Train Loss: 0.4039, Val F1: 0.0
[Epoch 437] Train Loss: 0.4035, Val F1: 0.0
[Epoch 438] Train Loss: 0.4044, Val F1: 0.0
[Epoch 439] Train Loss: 0.4041, Val F1: 0.0
[Epoch 440] Train Loss: 0.4051, Val F1: 0.0
[Epoch 441] Train Loss: 0.4021, Val F1: 0.0
[Epoch 442] Train Loss: 0.4036, Val F1: 0.0
[Epoch 443] Train Loss: 0.4037, Val F1: 0.0
